Column,explaination,missing_percentage,Unique Values,drop?,imputation,uniques_Values,note!
COULD_BE_HCA,Indicates whether the incident could potentially impact a High Consequence Area (HCA),0,2,,,['YES' 'NO'],
WATER_CONTAM_IND,Indicator of whether water was contaminated as a result of the incident,0,2,,,['NO' 'YES'],
RELEASE_TYPE,"Classification of the release, e.g., accidental or intentional",0,5,,,['LEAK' 'OTHER' 'OVERFILL OR OVERFLOW' 'MECHANICAL PUNCTURE' 'RUPTURE'],
ITEM_INVOLVED,The specific item or component involved in the incident,0,19,1,,"['PIPE' '""WELD, INCLUDING HEAT-AFFECTED ZONE""' 'FLANGE ASSEMBLY' 'TUBING'
 'TANK/VESSEL' 'SCRAPER/PIG TRAP' 'PUMP' 'VALVE' 'DRAIN LINES' 'OTHER'
 'SUMP' 'METER/PROVER' 'RELIEF LINE AND RELIEF EQUIPMENT'
 'FILTER/STRAINER/SEPARATOR' 'REPAIR SLEEVE OR CLAMP' 'INSTRUMENTATION'
 '""TAP FITTING(STOPPLE, THREAD-O-RING, WELD-O-LET, ETC.)""'
 'AUXILIARY PIPING (E.G. DRAIN LINES)' 'TAPPING EQUIPMENT']",
FATALITY_IND,Indicates if the incident resulted in any fatalities,0,2,0,,['NO' 'YES'],"for now, injury and fatality is captured in numerical features"
IGNITE_IND,Indicates if there was an ignition during the incident,0,2,,,['NO' 'YES'],
COMMODITY_REACHED_HCA,Indicates if the released commodity reached a High Consequence Area,0.02,2,,,['YES' 'NO' nan],
FEDERAL,Indicates if the incident occurred on federal property,0.99,2,,,['NO' nan 'YES'],
LOCATION_TYPE,Type of location where the incident occurred,0.99,3,,,"['PIPELINE RIGHT-OF-WAY'
 'TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY'
 '""ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY""'
 nan]",
INCIDENT_AREA_TYPE,Type of area affected by the incident,0.99,4,,,"['TRANSITION AREA' 'ABOVEGROUND' 'UNDERGROUND'
 '""TANK, INCLUDING ATTACHED APPURTENANCES""' nan]",
INCIDENT_IDENTIFIED_DATETIME,DateTime when the incident was first identified,4.09,5226,1,,,Could not figure out a way to make something usufull out of these two. They worth exploring though!
ON_SITE_DATETIME,DateTime when response personnel arrived on site,4.18,5216,1,,,Could not figure out a way to make something usufull out of these two. They worth exploring though!
SHUTDOWN_DUE_ACCIDENT_IND,Indicates if the facility or pipeline was shut down due to the accident,6.85,2,,NO,['YES' 'NO' nan],"I assume they would have indicated shutdown if there was any! If there was not any shutdown, maybe they forgot. (for imputation)"
DESIGNATED_LOCATION,Designated location for the incident reporting,9.94,3,1,,['MILEPOST' 'SURVEY STATION NO.' nan 'MILEPOST/VALVE STATION'],
ACCIDENT_IDENTIFIER,Unique identifier for the accident,13.5,12,,,"['""LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS""'
 'NOTIFICATION FROM PUBLIC'
 '""SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)""'
 'CPM LEAK DETECTION SYSTEM' 'GROUND PATROL BY OPERATOR OR ITS CONTRACTOR'
 'OTHER' 'AIR PATROL' 'NOTIFICATION FROM EMERGENCY RESPONDER'
 'STATIC SHUT-IN TEST OR OTHER PRESSURE OR LEAK TEST' 'CONTROLLER'
 'NOTIFICATION FROM THIRD PARTY THAT CAUSED THE ACCIDENT'
 '""CPM LEAK DETECTION SYSTEM OR SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME CALCULATIONS)""'
 nan]",
MATERIAL_INVOLVED,Type of material involved in the incident,13.5,2,,,['CARBON STEEL' 'MATERIAL OTHER THAN CARBON STEEL' nan],
PRESSURE_RESTRICTION_IND,Indicates if there was a pressure restriction in place during the incident,13.52,2,,,['NO' 'YES' nan],
SCADA_IN_PLACE_IND,Indicates if a SCADA system was operational at the time of the incident,13.52,2,,,['YES' 'NO' nan],
CPM_IN_PLACE_IND,Indicates if a Computational Pipeline Monitoring system was in place,13.52,2,,,['YES' 'NO' nan],
SOIL_CONTAMINATION,Indicates if there was soil contamination as a result of the incident,13.81,2,,,['YES' 'NO' nan],
WILDLIFE_IMPACT_IND,Indicates if wildlife was impacted by the incident,13.89,2,,,['NO' 'YES' nan],
REMEDIATION_IND,Indicates if remediation is required or underway,14.05,2,,,['NO' 'YES' nan],
LONG_TERM_ASSESSMENT,Indicates if the incident involved a long-term environmental impact assessment,14.18,2,,,['NO' 'YES' nan],
CROSSING,Indicates if the incident occurred at a crossing,14.49,2,,,['NO' nan 'YES'],
ACCIDENT_PRESSURE,Pressure at the time of the incident,14.65,3,,,"['PRESSURE DID NOT EXCEED MOP' nan
 '""PRESSURE EXCEEDED MOP, BUT DID NOT EXCEED 110% OF MOP""'
 'PRESSURE EXCEEDED 110% OF MOP']",I have captured this variable in numericals
EXPLODE_IND,Indicates if there was an explosion,15.46,2,,NO,[nan 'NO' 'YES'],Assumption of neglection!( meaning that null values are 0 because it was otherwise they would have inputed 1)
LEAK_TYPE,Type of leak or release that occurred,20.85,5,,,['PINHOLE' 'CRACK' 'CONNECTION FAILURE' 'SEAL OR PACKING' 'OTHER' nan],
INCIDENT_AREA_SUBTYPE,Subtype of the area affected by the incident,23.46,14,1,,"['SOIL/AIR INTERFACE'
 'TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE' 'UNDER SOIL' nan
 'INSIDE A BUILDING' 'OTHER' 'EXPOSED DUE TO EXCAVATION'
 'IN UNDERGROUND ENCLOSED SPACE (E.G. VAULT)'
 'PIPE SUPPORT OR OTHER CLOSE CONTACT AREA' 'IN OR SPANNING AN OPEN DITCH'
 'UNDER PAVEMENT' 'EXPOSED DUE TO LOSS OF COVER'
 'INSIDE OTHER ENCLOSED SPACE' 'OVERHEAD CROSSING' 'UNDER A BUILDING']",
SCADA_CONF_IND,Indicates if the SCADA system was confirmed to be operational after the incident,25.6,2,,,['NO' nan 'YES'],"for now, since we have a variable that shows if there was a SCADA in place or not, we will ommit these variables"
SCADA_DETECTION_IND,Indicates if the SCADA system detected the incident,25.6,2,,,['NO' nan 'YES'],"for now, since we have a variable that shows if there was a SCADA in place or not, we will ommit these variables"
SCADA_FUNCTIONAL_IND,Indicates if the SCADA system was functional during the incident,25.6,2,,,['YES' nan 'NO'],"for now, since we have a variable that shows if there was a SCADA in place or not, we will ommit these variables"
SCADA_OPERATING_IND,Indicates if the SCADA system was operating normally during the incident,25.6,2,,,['YES' nan 'NO'],"for now, since we have a variable that shows if there was a SCADA in place or not, we will ommit these variables"
OPERATOR_TYPE,"Type of operator, e.g., private, public, government",37.22,2,1,,['OPERATOR EMPLOYEE' nan 'CONTRACTOR WORKING FOR THE OPERATOR'],
SHUTDOWN_DATETIME,DateTime when the shutdown occurred due to the incident,48.75,2796,1,,"['9/5/2024 17:46' nan '8/30/2024 13:06' ... '1/11/2010 14:55'
 '1/11/2010 14:45' '1/8/2010 23:41']",
NRC_RPT_DATETIME,DateTime when the National Response Center report was filed,50.19,2713,1,,"['9/5/2024 18:31' '9/2/2024 8:20' '8/30/2024 15:11' ... '1/9/2010 3:40'
 '1/9/2010 3:21' '1/7/2010 20:46']",don't know how exactly we can use this. Worth exploring though
RESTART_DATETIME,DateTime when operations were restarted after the incident,50.26,2710,1,,"['9/9/2024 9:26' nan '8/30/2024 16:05' ... '1/11/2010 22:08'
 '1/15/2010 15:00' '1/13/2010 9:17']",
COMMODITY_SUBTYPE,Subtype of the commodity involved in the release,52.68,9,,,"['GASOLINE (NON-ETHANOL)'
 'LPG (LIQUEFIED PETROLEUM GAS)  /  NGL (NATURAL GAS LIQUID)' nan
 'OTHER HVL' '""DIESEL, FUEL OIL, KEROSENE, JET FUEL""'
 'MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE)' 'OTHER'
 'ANHYDROUS AMMONIA' 'FUEL GRADE ETHANOL' 'BIODIESEL']",
EQ_FAILURE_TYPE,"Type of equipment failure, if any, associated with the incident",54.54,7,,,"[nan 'NON-THREADED CONNECTION FAILURE'
 'DEFECTIVE OR LOOSE TUBING OR FITTING' 'OTHER EQUIPMENT FAILURE'
 'PUMP OR PUMP-RELATED EQUIPMENT'
 'MALFUNCTION OF CONTROL/RELIEF EQUIPMENT'
 '""FAILURE OF EQUIPMENT BODY (EXCEPT PUMP), TANK PLATE, OR OTHER MATERIAL""'
 'THREADED CONNECTION/COUPLING FAILURE']",
CPM_OPERATING_IND,Indicates if the Computational Pipeline Monitoring was operating normally during the incident,56.93,2,1,,['YES' nan 'NO'],
CPM_CONF_IND,Indicates if the Computational Pipeline Monitoring system confirmed detection of the incident,56.93,2,1,,['NO' nan 'YES'],
CPM_DETECTION_IND,Indicates if the Computational Pipeline Monitoring detected the incident,56.93,2,1,,['NO' nan 'YES'],
CPM_FUNCTIONAL_IND,Indicates if the Computational Pipeline Monitoring was functional during the incident,56.93,2,1,,['YES' nan 'NO'],
MANUFACTURED_YEAR,Year the item or component was manufactured,61.72,103,1,,"['UNKNOWN' '2024' '2019' '2017' '1967' '1994' '1990' '1975' '1951' '1948'
 '1969' '1963' '2022' '1984' '2016' '2013' '2014' '2008' '2021' '2001'
 '2011' '1954' '1965' '2023' '2002' '2009' '2015' '1933' '1977' '2010'
 '2018' '2005' '2012' '1996' '1971' '2004' '1957' '1992' '1959' '1995'
 '1952' '1931' '1980' '1950' '2006' '1922' '1972' '1999' '1991' '1966'
 '1955' '2007' '1979' '1960' '1958' '1978' '1930' '1962' '1981' '1968'
 '1956' '1964' '1953' '2020' '1970' '1982' '1976' '1988' '1986' '2000'
 '1997' '1985' '1945' '1998' '1989' '1974' '1973' '1961' nan '1987' '1932'
 '1983' '1949' '1927' '1943' '1993' '1939' '1941' '1929' '1946' '1936'
 '1934' '1942' '1947' '2003' '1937' '1928' '1944' '1940' '1926' '1920'
 '1910' '1924' '1935']",
SOIL_REMED_IND,Indicates if soil remediation is necessary,71.2,1,1,,[nan 'YES'],
INTERNAL_INSPECTION_IND,Indicates if an internal inspection was conducted before the incident,71.5,2,1,,['YES' nan 'NO'],
OPERATION_COMPLICATIONS_IND,Indicates if there were complications during operation leading to the incident,71.51,2,1,,['NO' nan 'YES'],
DEPTH_OF_COVER,Depth of cover over the pipeline or item involved in the incident,72.06,113,1,,"[nan '72' '24' '48' '42' '28' 'UNKNOWN' '131' '96' '36' '6' '168' '20'
 '108' '40' '18' '30' '78' '54' '35' '16' '60' '37' '84' '47' '51' '65'
 '1' '8' '156' '114' '5' '13' '75' '3' '26' '66' '12' '68' '144' '80' '10'
 '4' '25' '14' '43' '264' '38' '34' '55' '180' '130' '87' '120' '44' '32'
 '49' '27' '240' '52' '132' '79' '33' '56' '192' '82' '63' '100' '46' '59'
 '50' '404' '53' '61' '102' '672' '360' '41' '138' '64' '29' '22' '204'
 '94' '74' '83' '77' '800' '88' '39' '45' '234' '300' '90' '9' '720' '183'
 '107' '62' '276' '31' '216' '106' '76' '17' '7' '298' '268' '117' '21'
 '58' '15' '69' '92']",
UPSTREAM_VALVE_TYPE_IND,Type of valve upstream from the incident site,72.96,3,1,,['MANUAL' nan 'REMOTELY CONTROLLED' 'AUTOMATIC'],
DOWNSTREAM_VALVE_TYPE_IND,Type of valve downstream from the incident site,73.03,4,1,,['MANUAL' nan 'REMOTELY CONTROLLED' 'AUTOMATIC' 'CHECK VALVE'],
PIPE_SEAM_TYPE,Type of seam on the pipe involved in the incident,75.02,12,1,,"['SEAMLESS' 'ERW - HIGH FREQUENCY' nan 'ERW - LOW FREQUENCY' 'OTHER'
 'ERW û UNKNOWN  FREQUENCY' 'SPIRAL WELDED' 'DSAW' 'CONTINUOUS WELDED'
 'SINGLE SAW' 'FLASH WELDED' 'LAP WELDED' 'FURNACE BUTT WELDED']",
PIPE_COATING_TYPE,Type of coating on the pipe involved in the incident,75.02,12,1,,"['OTHER' 'FUSION BONDED EPOXY(FBE)' 'EPOXY OTHER THAN FBE' 'COAL TAR' nan
 'COLD APPLIED TAPE' 'PAINT' 'EXTRUDED POLYEHYLENE' 'NONE' 'ASPHALT'
 'COMPOSITE' 'POLYOLEFIN' 'FIELD APPLIED EPOXY']",
PIPE_WALL_THICKNESS,Thickness of the pipe wall involved in the incident,75.04,99,1,,"['0.25' '0.353' '0.375' '0.307' '0.28' nan '0.156' '0.281' '0.219' '0.203'
 '0.5' '0.37' '0.226' '0.188' '0.133' '0.312' '0.75' '0.344' '0.277'
 '0.154' '0.365' '0.322' '0' '0.235' '0.406' '0.423' '0.159' '0.237'
 '0.432' '0.372' '0.38' '0.357' '0.32' '0.172' '0.515' '0.325' '0.279'
 '0.147' '0.236' '0.216' '0.429' '0.285' '0.23' 'UNKNOWN' '0.141' '0.125'
 '0.179' '0.2' '0.35' '0.33' '0.287' '0.54' '0.284' '0.265' '0.337'
 '0.386' '0.177' '0.19' '0.438' '0.316' '0.3' '0.627' '0.249' '0.218'
 '0.256' '0.247' '0.225' '0.366' '0.309' '0.18' '0.377' '0.26' '0.267'
 '0.39' '0.05' '0.358' '250' '0.137' '0.109' '0.128' '0.227' '0.22'
 '0.385' '0.317' '0.208' '0.347' '0.282' '0.196' '1.008' '0.295' '0.214'
 '0.311' '0.328' '0.329' '0.213' '0.231' '0.313' '0.29' '0.24' '0.463']",
PIPE_SPECIFICATION,Specifications of the pipe involved in the incident,75.08,272,1,,"['API5L GRADE X60' 'API 5L X70' 'API 5L' 'GRADE B' 'API 5L GRADE B' nan
 'X-60' 'X52' 'API-5L' 'API 5L X 42' 'X60' 'X-42 - 5LX' 'X42' 'API 5L X42'
 'UNKNOWN' 'API 5LX42' 'API5L' 'O1CS235' 'API 5L X-42' 'API 5LX'
 'X-60 API 5L' 'API5L/PSL2' '01CS235' 'API-5L GR. B' 'X-65' 'API 5L-X52'
 'X46' 'API-5L-X52' 'A106/A333 GRADE B' 'API5LX42' 'API 5LX-X42'
 '""API 5L, X-42, PSL 2""' 'SCHEDULE 80' 'API-5LX' '5L' 'API 5LX-52'
 'API 5L X52' 'ASTM A106 GRADE B' 'API 5L X-52' 'API 5L GR B'
 'APL5-GRADE B' 'API- 5L ERW' '1.11E+48' 'X-46' 'X56' 'API 5LX52'
 'GRADE X42' 'API 5L-B' 'API 5L X-60 ERW' 'A53B' 'API 5L; ASTM A106'
 'API 5L X70 PSL2' 'API 5L PSL2' 'X-52' 'ASA STD B16.9' 'CLASS A'
 'API FL X52' 'GR B' 'A.O. SMITH FLASHWELDED X52' 'X-42'
 'ASTM/ASME SA-53E/B' 'ASTM A106' 'X52 API 5L - 44TH ED - ISO'
 'API 5L X65' 'GRADE A' 'API-5L-GR. B' '5LX-X52' 'API 5L GRADE A'
 'API 5L (PSL2)' 'API 5L - X42' 'ASTM A333 GRADE 6' 'AP 5L' 'X 46'
 'API-5L-X46' 'API 5L 45 ED' 'DSAW' '5L X60' 'API 5L 45TH ED.'
 'CARBON STEEL' 'API 5 L' '1CB1S01' 'ASTM A 106' '""API 5L X-42, PSL2""'
 '""API 5L, PSL2""' '""GRADE B, PEB, API 5L PSL2""' 'API5L-X42' '5L-X42'
 'SA53B' 'API 5L-X46' 'SCH 80' 'API 5L X60M PSL2' 'API5LX-52'
 'API 5L 45TH EDITION' 'API 5L X-46' 'ASTM A106 / SA 53' 'API-5L-X42'
 'API5LX-42' 'GRADE B SMLS' 'API - 5L - X52' 'API 5L HFW PSL2' 'API5L-X65'
 'API5L GRADE B' 'X24' '5L-B' 'UNDETERMINED' 'API GRADE B' 'ERW'
 '""API 5L, X60, 12.75""' 'UNK' 'GRADE B API 5L' 'X52 GRADE' 'UNKOWN'
 'A-53 GRADE B' 'X 52' '""ASME B16.9(07), ASME B16.25(07)""' 'A106 X 42'
 'API 5L- GRADE B' 'API 5L BESSEMER AND OPEN HEARTH WELDED' 'X42 - X52'
 'API L X52' 'ASTM A-106-B-35000' 'B' '5LX42' '24000'
 '""API-5L, GRADE A, ERW""' '""42,000""' 'TESTED API 5L-PSL1' 'ASTM A-106'
 'API5LX-60' 'API5LX-46' '""API 5L, GRADE B""' 'API 5LX 42' 'API5L PSL2 X52'
 'API 5LX-42' 'SA53 GB' '5L X-52' '___API 5L' 'X35'
 'FORGED ELBOW - ASME B16.9' '5L GRB' 'API 5LX (1954)' '""API 5LX, X42""'
 '5L X46' 'API-5L X42' 'ASTM A234 / A234M' 'API5LX 46' 'A-106B'
 '""API-5LX-42, 46, 52""' 'X-70' 'API 5L GRADE X-42' '5L-X52'
 '""SMYS 42,000 PSI""' 'API 5-L-X-52' 'API 5L-X42' 'X-24' 'APL 5L' 'API'
 'API 5L X46' 'API-5-L' 'API-5L-X-60' 'X-25' 'GRADEB' 'GRADAE B SEAMLESS'
 'UNKNOWN.' 'API 5LX-46' 'X65' 'API 5L X42M/X52M/PSL2' 'A53B (GRADE B)'
 '5LX' 'API5L X-42' 'API 5L PSLII X70' 'API-5L-X-52-52000'
 'ERW STEEL LINE PIPE' '""ASTMA53, GR B""' 'API 5L-GRADE A' 'API-5L-X-65'
 'API GRADE A' 'SCH 40' 'ANSI B16.9' 'API-5:-X-52' 'API 5LB X42'
 'API-5L-X-52' 'API 5LX46' 'GR A' '5L- X60' 'SCHEDULE 40' 'API 5L LF'
 '""SCHEDULE 80, GRADE B""' 'API SL X52 ERW' 'ANSI 150'
 'GRADE B STEEL NOT KNOWN DUE TO AGE' 'API-5L X70' 'SCH 40 / STANDARD'
 'API 5L-X-52' 'AAPI 5LX' 'API-5L X-42' 'UNKNOW' 'API 15L'
 '""API-5L  GR""""B""""""' 'APL 5L LINE PIPE STEEL' 'API 5 LX - 60'
 'API 5LX GRADE B' 'ASME B16.9 ASTM A234 GR WPB' 'CS-SA53B' '35000' 'A106'
 'NO ORIGINNAL DOCUMENTATION' 'X 42' 'API 5L B' 'API 5L- X46' 'GRADE X-42'
 'SCHEDULE 10' '5L-X' 'API 5L PSL-1' 'API 5L X 42 P8L1/ ASTM A53B' 'STEEL'
 'ASTM A53-B' 'API 5L GRADE X-60 ERW' 'API 5-L' 'API 5L X80' '5LX-52'
 '""API-5LX52,HF ERW""' 'API 5LX60' 'API5L / SCH 40 GR B' 'API-5L-GRADE B'
 '5XL-42' 'API 5L X60 PLS2' '5LX-42' 'API 5L GRADE X-46' 'API 5L-X 42'
 '""API 5L,  X-42""' 'ASTM A135' 'API 5L- X42' 'API-5L_X52' 'X35 (B)'
 'API5L X46' '""14"""" OD X 0.375 WT, GRADE B""' '""API-5L GR """"B""""""'
 'API 5LX 46' 'NOT DETERMINED' 'API 5LS-B' 'B GRADE' 'API-5L GRADE B'
 'A53GRB' '""API-5L, CLASS II, SCHEDULE 40""' 'API 5 LX' 'ERW-5LX'
 '5L GRADE B' '""X 42, 54 LB/FT""' 'API   5L  GRADE B' 'ERW SCH 10' 'LF ERW'
 'API 5LX-X42 ERW' 'SMAW' '5L X52' '5LA-25' 'API-5LX-X60' 'A120'
 'API - 5L' '0.72' 'APL-5L' 'X42 ERW5LX' '5L X65' '5L- X42' 'GRABE B'
 'API 5LX-16' 'A25' 'GRADE C' 'CS-SA 53B' 'GRADE B LINE PIPE'
 'API-STD-5LX' 'API 5L-X' '5LX-46']",
PIPE_SMYS,Specified Minimum Yield Strength (SMYS) of the pipe,75.08,39,1,,"['60000' '70000' '24000' '35000' nan '42000' '52000' '46329' '65000'
 '47000' '46000' '66700' '111111' '45000' '3531' '30000' '52200' '34000'
 '20000' '55000' 'UNKNOWN' '59000' '61641' '56000' '80000' '40000' '36000'
 '41000' '25000' '200' '50000' '62000' '44000' '32000' '25' '3500' '28000'
 '48000' '2353' '62500']",
PIPE_TYPE,Type of pipe involved in the incident,75.17,2,1,,['PIPE BODY' nan 'PIPE SEAM'],
